FNAME,LNAME,SEX,YOB,CITIZEN,HIRED,LEADER,MSOLO,MSUCCESS,MPERHIGHPT,MYEAR,MSEASON,INJURY,DEATH,INJURYTYPE,DEATHTYPE,MO2USED
Gian Mario,Merelli,M,1962,Italy,FALSE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Silvio,Mondinelli,M,1958,Italy,FALSE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,FALSE
Edurne,Pasaban Lizarribar,F,1973,Spain,FALSE,TRUE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Edgar Ivan,Vallejo Ricaurte,M,1959,Ecuador,FALSE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,FALSE
Dawa,Sherpa,M,1969,Nepal,TRUE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Bhag,Chain,M,1968,India,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Chering Norbu,Bodh,M,1969,India,FALSE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Jigmay Namgyal,Bhotia,M,1968,India,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Til Bikram,Budhathoki,M,1965,Nepal,FALSE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Neel,Chand Dogra,M,1970,India,FALSE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Chanchal Singh,Dhasila,M,1957,India,FALSE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Mandhoj,Gurung,M,1973,Nepal,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Rohit,Gurung,M,1976,India,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Nim Bahadur,Khattri,M,1973,Nepal,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Ajay,Kothiyal,M,1969,India,FALSE,FALSE,FALSE,FALSE,7900,2001,1,FALSE,FALSE,0,0,TRUE
Krishan,Kumar,M,1957,India,FALSE,TRUE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Mohinder Singh,Negi,M,1964,India,FALSE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Palden,Giachho Negi,M,1969,India,FALSE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Vijender Singh,Negi,M,1961,India,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Amar,Prakash Dogra,M,1963,India,FALSE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Satish Chander,Sharma,M,1959,India,FALSE,FALSE,FALSE,FALSE,7900,2001,1,FALSE,FALSE,0,0,TRUE
Saurabh Singh,Shekhawat,M,1970,India,FALSE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Anand,Swaroop,M,1967,India,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Deep Chand,Thakur,M,1958,India,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Robin Kumar,Thapa,M,1966,India,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Pasang Tendi,Sherpa,M,1974,Nepal,TRUE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Nga Temba,Sherpa,M,1950,Nepal,TRUE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Lhakpa Nuru,Sherpa,M,1979,Nepal,TRUE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Dendi,Sherpa,M,1972,Nepal,TRUE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Mingma Tshering (Mingma Chhiri),Sherpa,M,1981,Nepal,TRUE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Pasang Gelu,Sherpa,M,1963,Nepal,TRUE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Pasang Rinji,Sherpa,M,1976,Nepal,TRUE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Robert,Bash,M,1971,UK,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
John Stuart Ferguson,Dunlop,M,1950,Australia,FALSE,FALSE,FALSE,FALSE,6400,2001,1,FALSE,FALSE,0,0,TRUE
Roland Stuart,Hunter,M,1974,UK,FALSE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Michael (Mick),Long,M,1960,Ireland,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Mark Charles,McDermott,M,1959,UK,FALSE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,FALSE
David Brian,Peel,M,1962,UK,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Stuart Andrew,Simpson,M,1966,UK,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Brian Donald,Staines,M,1951,UK,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Nicholas John (Nick),Stopford,M,1972,UK,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Alexandra Kathleen Jane (Sandra),Stubbs,F,1952,UK,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Terence Francis (Terry),Stubbs,M,1952,UK,FALSE,TRUE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Simon Andrew,Williams,M,1966,New Zealand,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Claire,Bernier Roche,F,1972,France,FALSE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Claude-Alain,Gailland,M,1973,Switzerland,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Yannick Marcel,Graziani,M,1973,France,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Alain,Grelet,M,1966,France,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Bertrand (Zebulon),Roche,M,1973,France,FALSE,TRUE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Frederic George Gilbert,Roux,M,1972,Switzerland,FALSE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Christian,Trommsdorff,M,1964,France,FALSE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,FALSE
Philip Daniel,Austin,M,1965,UK,FALSE,FALSE,FALSE,FALSE,7050,2001,1,FALSE,FALSE,0,0,FALSE
Timothy Morrison,Boelter,M,1965,USA,FALSE,FALSE,FALSE,FALSE,7050,2001,1,TRUE,FALSE,1,0,FALSE
Michael,Chrisp,M,1952,UK,FALSE,FALSE,FALSE,FALSE,7050,2001,1,FALSE,FALSE,0,0,FALSE
Walter John,Keller III,M,1968,USA,FALSE,TRUE,FALSE,FALSE,8300,2001,1,FALSE,FALSE,0,0,TRUE
Richard,Dickerson,M,1958,USA,FALSE,FALSE,FALSE,FALSE,6400,2001,1,FALSE,FALSE,0,0,FALSE
Jerome,Gross,M,1961,USA,FALSE,FALSE,FALSE,FALSE,6400,2001,1,FALSE,FALSE,0,0,FALSE
Margaret,Gross,F,1968,USA,FALSE,FALSE,FALSE,FALSE,6400,2001,1,FALSE,FALSE,0,0,FALSE
Craig Alan,John,M,1957,USA,FALSE,TRUE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Tim,Lapham,M,1965,USA,FALSE,FALSE,FALSE,FALSE,6400,2001,1,FALSE,FALSE,0,0,FALSE
Richard,Martinez,M,1959,USA,FALSE,FALSE,FALSE,FALSE,6400,2001,1,FALSE,FALSE,0,0,FALSE
Sally Gilpin,Martinez,F,1966,USA,FALSE,FALSE,FALSE,FALSE,6400,2001,1,FALSE,FALSE,0,0,FALSE
Atalanta Cleopatria (Lanta),Olito,F,1966,USA,FALSE,FALSE,FALSE,FALSE,7000,2001,1,FALSE,FALSE,0,0,FALSE
Timothy,Ramey,M,1958,USA,FALSE,FALSE,FALSE,FALSE,6400,2001,1,FALSE,FALSE,0,0,FALSE
Chris,Shiver,M,1962,USA,FALSE,FALSE,FALSE,FALSE,6400,2001,1,FALSE,FALSE,0,0,FALSE
James Stoddard (Jim),Waldron,M,1947,USA,FALSE,FALSE,FALSE,FALSE,6400,2001,1,FALSE,FALSE,0,0,FALSE
Edward,Wheelker,M,1962,USA,FALSE,FALSE,FALSE,FALSE,6400,2001,1,FALSE,FALSE,0,0,FALSE
Mark,Auricht,M,1963,Australia,FALSE,FALSE,FALSE,FALSE,8700,2001,1,FALSE,TRUE,0,10,TRUE
Duncan Charles,Chessell,M,1970,Australia,FALSE,TRUE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Tshering Palden/Pande,Bhote,M,1978,Nepal,TRUE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Scott G.,Kress,M,1967,Canada,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Ricardo,Moreno,M,1975,Mexico,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Hamish,Robertson,M,1958,Australia,FALSE,FALSE,FALSE,FALSE,7800,2001,1,FALSE,FALSE,0,0,FALSE
Cathy Ann,Taylor,F,1963,USA,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Fabrizio John,Zangrilli,M,1972,USA,FALSE,TRUE,FALSE,FALSE,7000,2001,1,FALSE,FALSE,0,0,FALSE
Heidi Ann,Eichner,F,1966,USA,FALSE,FALSE,FALSE,FALSE,7800,2001,1,FALSE,FALSE,0,0,TRUE
David Allen (Dave),Hahn,M,1961,USA,FALSE,FALSE,FALSE,FALSE,8700,2001,1,FALSE,FALSE,0,0,TRUE
Jochen,Hemmleb,M,1971,Germany,FALSE,FALSE,FALSE,FALSE,6400,2001,1,FALSE,FALSE,0,0,FALSE
Garvey Lee,Meyers,M,1947,USA,FALSE,FALSE,FALSE,FALSE,6400,2001,1,FALSE,FALSE,0,0,FALSE
James Ryrie (Jake),Norton,M,1973,USA,FALSE,FALSE,FALSE,FALSE,6100,2001,1,FALSE,FALSE,0,0,FALSE
Brent T.,Okita,M,1961,USA,FALSE,FALSE,FALSE,FALSE,7800,2001,1,FALSE,FALSE,0,0,TRUE
Andrew James (Andy),Politz,M,1959,USA,FALSE,FALSE,FALSE,FALSE,8400,2001,1,FALSE,FALSE,0,0,TRUE
John,Race,M,1969,USA,FALSE,FALSE,FALSE,FALSE,8400,2001,1,FALSE,FALSE,0,0,TRUE
Tapley M. (Tap),Richards,M,1974,USA,FALSE,FALSE,FALSE,FALSE,8700,2001,1,FALSE,FALSE,0,0,TRUE
Eric Robb,Simonson,M,1955,USA,FALSE,TRUE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Terrence,Lafrance,M,1962,USA,FALSE,TRUE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Michael,Otis,M,1962,USA,FALSE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Mingma Ongel (Sonam Gyalzen),Sherpa,M,1978,Nepal,TRUE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Dawa Nuru (Danuru),Sherpa,M,1978,Nepal,TRUE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Lhakpa Nuru,Sherpa,M,1972,Nepal,TRUE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Kami Tshering (Ang Chhiring),Sherpa,M,1962,Nepal,TRUE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Tanya Helena,Bylart,F,1972,Australia,FALSE,FALSE,FALSE,FALSE,8500,2001,1,TRUE,FALSE,1,0,TRUE
Michael James,Cook,M,1968,Australia,FALSE,FALSE,FALSE,FALSE,8750,2001,1,FALSE,FALSE,0,0,TRUE
David Paul,Donaldson,M,1965,Australia,FALSE,FALSE,FALSE,FALSE,8100,2001,1,FALSE,FALSE,0,0,TRUE
Roger Thomas,Grose,M,1969,Australia,FALSE,FALSE,FALSE,FALSE,8500,2001,1,FALSE,FALSE,0,0,TRUE
Jameson A. (Jamie),Hackett,M,1973,Australia,FALSE,FALSE,FALSE,FALSE,8100,2001,1,FALSE,FALSE,0,0,TRUE
Carl Archall,Johnson,M,1962,Australia,FALSE,FALSE,FALSE,FALSE,7000,2001,1,FALSE,FALSE,0,0,FALSE
Robert Douglas (Bob),Killip,M,1953,Australia,FALSE,FALSE,FALSE,FALSE,8500,2001,1,FALSE,FALSE,0,0,TRUE
Peter Louis,Lambert,M,1957,Australia,FALSE,FALSE,FALSE,FALSE,7000,2001,1,FALSE,FALSE,0,0,FALSE
Brian Patrick (Henri),Laursen,M,1968,Australia,FALSE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Adrian Bruce,McCallum,M,1971,Australia,FALSE,FALSE,FALSE,FALSE,8100,2001,1,FALSE,FALSE,0,0,TRUE
Dean Stewart,McMaster,M,1964,Australia,FALSE,FALSE,FALSE,FALSE,5800,2001,1,FALSE,FALSE,0,0,FALSE
Tim,Robatham,M,1977,Australia,FALSE,FALSE,FALSE,FALSE,8450,2001,1,FALSE,FALSE,0,0,TRUE
Mark Anthony,Whetu,M,1959,New Zealand,FALSE,FALSE,FALSE,FALSE,8500,2001,1,FALSE,FALSE,0,0,TRUE
Zacharakis (Zac),Zaharias,M,1956,Australia,FALSE,TRUE,FALSE,FALSE,8750,2001,1,FALSE,FALSE,0,0,TRUE
Chhuwang Nima,Sherpa,M,1967,Nepal,TRUE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Ngima Nuru (Nima Nuru),Sherpa,M,1981,Nepal,TRUE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Andrew,Arden,M,1967,UK,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Evelyne Yvonne,Binsack,F,1967,Switzerland,FALSE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
David,Bird,M,1962,UK,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Robert,Boesch,M,1954,Switzerland,FALSE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Russell Reginald,Brice,M,1952,New Zealand,FALSE,TRUE,FALSE,FALSE,7000,2001,1,FALSE,FALSE,0,0,FALSE
David,Childs,M,1961,UK,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Luigi,Genazzini,M,1939,Italy,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Shirley,Hayden,F,1964,UK,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Naoki,Ishikawa,M,1977,Japan,FALSE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
David,Jackson,M,1951,UK,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Andrew Atis (Andy),Lapkass,M,1958,USA,FALSE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Angus,Larard,M,1959,Australia,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Kieron,Mackenzie,M,1960,UK,FALSE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Douglas N.,Madison,M,1954,USA,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Richard,Mahler,M,1943,Canada,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Ellen Elizabeth,Miller,F,1959,USA,FALSE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Asmus Aastrup,Norreslet,M,1974,Denmark,FALSE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Marco,Siffredi,M,1979,France,FALSE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
John,Steele,M,1949,UK,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Jess,Stock,M,1949,UK,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Roy Campbell,Tudor Hughes,M,1938,UK,FALSE,FALSE,FALSE,FALSE,7000,2001,1,FALSE,FALSE,0,0,FALSE
Jaime,Vinals Massanet,M,1961,Guatemala,FALSE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
David (Dave),Walsh,M,1944,UK,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Christopher Bernard (Chris),Warner,M,1964,USA,FALSE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Owen,West,M,1969,USA,FALSE,FALSE,FALSE,FALSE,8500,2001,1,FALSE,FALSE,0,0,TRUE
Lobsang Temba (Lupsang Temba),Sherpa,M,1968,Nepal,TRUE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Karsang Namgyal/Namgel,Sherpa,M,1971,Nepal,TRUE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Phurba Tashi,Sherpa,M,1971,Nepal,TRUE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Dawa Temba (Da Temba),Sherpa,M,1958,Nepal,TRUE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Karsang Dhondup (Karsang Thendup),,M,,China,TRUE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Wilfried Josef,Studer,M,1956,Austria,FALSE,TRUE,FALSE,FALSE,8500,2001,1,FALSE,FALSE,0,0,FALSE
Sylvia Brigitte,Studer,F,1953,Austria,FALSE,FALSE,FALSE,FALSE,8500,2001,1,FALSE,FALSE,0,0,FALSE
Sergi,Mingote Moreno,M,1971,Spain,FALSE,TRUE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Thilen,Sherpa,M,1968,Nepal,TRUE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Ian Edward (Ted),Atkins,M,1958,UK,FALSE,TRUE,FALSE,FALSE,8400,2001,1,FALSE,FALSE,0,0,TRUE
Richard,Bale,M,1972,UK,FALSE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Dan,Carroll,M,1963,UK,FALSE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Peter James,Greening,M,1969,UK,FALSE,FALSE,FALSE,FALSE,8000,2001,1,FALSE,FALSE,0,0,TRUE
James (Jim),Groark,M,1962,UK,FALSE,FALSE,FALSE,FALSE,8400,2001,1,FALSE,FALSE,0,0,TRUE
Ian (Ned),Kelly,M,1961,UK,FALSE,FALSE,FALSE,FALSE,8000,2001,1,FALSE,FALSE,0,0,TRUE
Nigel (Kenny),Kenworthy,M,1961,UK,FALSE,FALSE,FALSE,FALSE,8000,2001,1,FALSE,FALSE,0,0,TRUE
Brian James,Kirkpatrick,M,1961,UK,FALSE,FALSE,FALSE,FALSE,8400,2001,1,FALSE,FALSE,0,0,TRUE
Willie,MacRitchie,M,1965,UK,FALSE,FALSE,FALSE,FALSE,8300,2001,1,FALSE,FALSE,0,0,TRUE
James,Lennie,M,1960,UK,FALSE,FALSE,FALSE,FALSE,8300,2001,1,FALSE,FALSE,0,0,TRUE
Stephen John,Price,M,1961,UK,FALSE,FALSE,FALSE,FALSE,8000,2001,1,FALSE,FALSE,0,0,TRUE
Nick,Sharpe,M,1960,UK,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
David,Whalley,M,1952,UK,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Zaid Aasa (Zed),Al-Refa'i,M,1966,Kuwait,FALSE,FALSE,FALSE,FALSE,6400,2001,1,FALSE,FALSE,0,0,FALSE
Yves,Anciaux,M,1967,France,FALSE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Charly,Bellota,M,1954,France,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Claude,Blondot,M,1945,France,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Guy,Chardiny,M,1959,France,FALSE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Anna Morillot,Collet,F,1953,France,FALSE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Jacques Philippe,Marmet,M,1956,France,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Bernard Roger,Muller,M,1952,France,FALSE,TRUE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Florence,Odin,F,1966,France,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Pierre,Paperon,M,1960,France,FALSE,FALSE,FALSE,FALSE,8700,2001,1,FALSE,FALSE,0,0,TRUE
Jean-Marc,Porte,M,1964,France,FALSE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Iman,Gurung,M,1960,Nepal,TRUE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Chhiring Dorje,Sherpa,M,1974,Nepal,TRUE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Pema Chhiring/Chhiri,Sherpa,M,1983,Nepal,TRUE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Chhiri (Ang Chhiring),Sherpa,M,1973,Nepal,TRUE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Mingma Nuru,Sherpa,M,1979,Nepal,TRUE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Ang Pasang,Sherpa,M,1969,Nepal,TRUE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Phinzo Norbu (Phinzo),Sherpa,M,1958,Nepal,TRUE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Jesus Maria (Josu),Bereziartua Etxaniz,M,1960,Spain,FALSE,FALSE,FALSE,FALSE,8600,2001,1,FALSE,FALSE,0,0,FALSE
Miguel Angel,Cobos Lopez,M,1974,Spain,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Ignacio,Delgado Alverza,M,1975,Spain,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Jaime,Garcia Cubero,M,1967,Spain,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Juan Jose (Juanjo),Garra Lorenzo,M,1963,Spain,FALSE,FALSE,FALSE,FALSE,8500,2001,1,FALSE,FALSE,0,0,FALSE
Victor,Jimenez Garcia,M,1964,Spain,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Fernando (Ferran),Latorre Torres,M,1970,Spain,FALSE,FALSE,FALSE,FALSE,8500,2001,1,FALSE,FALSE,0,0,FALSE
Juan Eusebio (Juanito),Oiarzabal Urteaga,M,1956,Spain,FALSE,TRUE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,FALSE
Jose Antonio,Perez Grueso Salon,M,1954,Spain,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Juan,Vallejo Llanos,M,1970,Spain,FALSE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,FALSE
Jacinto,Vidarte,M,1959,Spain,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Sebastian,Alvaro Lomba,M,1950,Spain,FALSE,FALSE,FALSE,FALSE,6400,2001,1,FALSE,FALSE,0,0,FALSE
Angel Felipe,Lenador de la Cruz,M,1948,Spain,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Martin Serapin,Rial Sanchez,M,1957,Spain,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Manuel (Manolo),Rojo,M,1960,Spain,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Nima,Tamang,M,1962,Nepal,TRUE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
David,Rosa Manez,M,1973,Spain,FALSE,TRUE,FALSE,FALSE,8650,2001,1,FALSE,FALSE,0,0,TRUE
Endika,Urtaran Motos,M,1972,Spain,FALSE,FALSE,FALSE,FALSE,8650,2001,1,FALSE,FALSE,0,0,TRUE
Jorge,Verdeguer White,M,1974,Spain,FALSE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Mingma Thinduk/Thenduk,Sherpa,M,1969,Nepal,TRUE,FALSE,FALSE,TRUE,8849,2001,1,FALSE,FALSE,0,0,TRUE
Neil,Hornett,M,1979,UK,FALSE,FALSE,FALSE,FALSE,7550,2001,1,FALSE,FALSE,0,0,FALSE
John Michael (Rock),Hudson,M,1945,UK,FALSE,FALSE,FALSE,FALSE,6900,2001,1,FALSE,FALSE,0,0,FALSE
Ian E.,Roberts,M,1964,UK,FALSE,TRUE,FALSE,FALSE,7550,2001,1,FALSE,FALSE,0,0,FALSE
Kathryn Louise,Sharpe,F,1970,UK,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Helena Guiro Pacheco,Pinto Coelho,F,1953,Brazil,FALSE,FALSE,FALSE,FALSE,8300,2001,1,FALSE,FALSE,0,0,FALSE
Paulo Rogerio,Pinto Coelho,M,1951,Brazil,FALSE,TRUE,FALSE,FALSE,8300,2001,1,FALSE,FALSE,0,0,FALSE
Itsuo,Ota,M,1941,Japan,FALSE,TRUE,FALSE,FALSE,7000,2001,1,FALSE,FALSE,0,0,FALSE
Koichiro,Shimazu,M,1968,Japan,FALSE,FALSE,FALSE,FALSE,7000,2001,1,FALSE,FALSE,0,0,FALSE
Chhongma,Sherpa,M,1955,Nepal,FALSE,FALSE,FALSE,FALSE,0,2001,1,FALSE,FALSE,0,0,FALSE
Ningma Tshering,Sherpa,M,1980,Nepal,FALSE,FALSE,FALSE,FALSE,7000,2001,1,FALSE,FALSE,0,0,FALSE
